Dates,NORMAL(mm) ,ACTUAL(mm)
20-Sep-20,0,0.28
21-Sep-20,0,1.77
22-Sep-20,0,6.45
23-Sep-20,0,13.28
24-Sep-20,0,14.61
25-Sep-20,0,15.56
26-Sep-20,0,18.48
27-Sep-20,0,9.9
28-Sep-20,0,16.72
29-Sep-20,0,2.14
30-Sep-20,0,0
01-Oct-20,0,0
02-Oct-20,0,24.95
03-Oct-20,0,14.05
04-Oct-20,0,11.18
05-Oct-20,0,9.55
06-Oct-20,0,33.7
07-Oct-20,0,10.87
08-Oct-20,0,0.35
09-Oct-20,0,0.01
10-Oct-20,0,0
11-Oct-20,0,0
12-Oct-20,0,0.26
13-Oct-20,0,0
14-Oct-20,0,0
15-Oct-20,0,0
16-Oct-20,0,0
17-Oct-20,0,0
18-Oct-20,0,0
19-Oct-20,0,2.16
20-Oct-20,0,0.08
21-Oct-20,0,0
22-Oct-20,0,0
23-Oct-20,0,22.3
24-Oct-20,0,16.34
25-Oct-20,0,26.53
26-Oct-20,0,0.11
27-Oct-20,0,0.02
28-Oct-20,0,0
29-Oct-20,0,0
30-Oct-20,0,0
31-Oct-20,0,0
01-Nov-20,0,1.64
02-Nov-20,0,0.02
03-Nov-20,0,1.49
04-Nov-20,0,27.53
05-Nov-20,0,7.66
06-Nov-20,0,0
07-Nov-20,0,0
08-Nov-20,0,0
09-Nov-20,0,0
10-Nov-20,0,0
11-Nov-20,0,0
12-Nov-20,0,0
13-Nov-20,0,0
14-Nov-20,0,0
15-Nov-20,0,0
16-Nov-20,0,0
17-Nov-20,0,0
18-Nov-20,0,5.02
19-Nov-20,0,1.25
20-Nov-20,0,0
21-Nov-20,0,0.32
22-Nov-20,0,1.32
23-Nov-20,0,0.03
24-Nov-20,0,0
25-Nov-20,0,0
26-Nov-20,0,0
27-Nov-20,0,0
28-Nov-20,0,0
29-Nov-20,0,0
30-Nov-20,0,0
01-Dec-20,0,0
02-Dec-20,0,0
03-Dec-20,0,0
04-Dec-20,0,0
05-Dec-20,0,0
06-Dec-20,0,0.25
07-Dec-20,0,0.01
08-Dec-20,0,0.05
09-Dec-20,0,0
10-Dec-20,0,0
11-Dec-20,0,0
12-Dec-20,0,0
13-Dec-20,0,0
14-Dec-20,0,0.41
15-Dec-20,0,0
16-Dec-20,0,0
17-Dec-20,0,0.12
18-Dec-20,0,0.36
19-Dec-20,0,0.21
20-Dec-20,0,0
21-Dec-20,0,0
22-Dec-20,0,0
23-Dec-20,0,0
24-Dec-20,0,0
25-Dec-20,0,0
26-Dec-20,0,0
27-Dec-20,0,0
28-Dec-20,0,0
29-Dec-20,0,0
30-Dec-20,0,0
31-Dec-20,0,0
01-Jan-21,0,0
02-Jan-21,0,0
03-Jan-21,0,0
04-Jan-21,0,0
05-Jan-21,0,0
06-Jan-21,0,0
07-Jan-21,0,0
08-Jan-21,0,0
09-Jan-21,0,0
10-Jan-21,0,0
11-Jan-21,0,0.49
12-Jan-21,0,1.25
13-Jan-21,0,1.56
14-Jan-21,0,0.08
15-Jan-21,0,0
16-Jan-21,0,0
17-Jan-21,0,0
18-Jan-21,0,0
19-Jan-21,0,0.27
20-Jan-21,0,3.83
21-Jan-21,0,7.63
22-Jan-21,0,0.06
23-Jan-21,0,0
24-Jan-21,0,0
25-Jan-21,0,0
26-Jan-21,0,0.08
27-Jan-21,0,0
28-Jan-21,0,0
29-Jan-21,0,0
30-Jan-21,0,0
31-Jan-21,0,1.11
01-Feb-21,0,0
02-Feb-21,0,0.04
03-Feb-21,0,0
04-Feb-21,0,0
05-Feb-21,0,0
06-Feb-21,0,0
07-Feb-21,0,0.04
08-Feb-21,0,0
09-Feb-21,0,0
10-Feb-21,0,0
11-Feb-21,0,0
12-Feb-21,0,0
