Dates,NORMAL(mm),ACTUAL(mm) 
27-May-20,7.5,71.09
28-May-20,12.5,1.28
29-May-20,11.2,0
30-May-20,11.6,1.98
31-May-20,5.1,1.47
01-Jun-20,7.2,29.9
02-Jun-20,5.3,11.62
03-Jun-20,11.6,27.07
04-Jun-20,11.3,11.44
05-Jun-20,4.5,18.51
06-Jun-20,10.7,63.35
07-Jun-20,15.7,3.31
08-Jun-20,18.3,0.85
09-Jun-20,13.8,0.04
10-Jun-20,13.1,0
11-Jun-20,16.7,0
12-Jun-20,8.8,48.64
13-Jun-20,9.3,0.68
14-Jun-20,11,24.98
15-Jun-20,10,3.77
16-Jun-20,7.9,11.41
17-Jun-20,15.3,26.05
18-Jun-20,20.4,68.04
19-Jun-20,16.2,43.99
20-Jun-20,12.8,8.94
21-Jun-20,15.6,0.12
22-Jun-20,14.1,1.58
23-Jun-20,10.6,2.67
24-Jun-20,13.3,8.37
25-Jun-20,13.8,52.67
26-Jun-20,9.3,83.6
27-Jun-20,13.5,67.66
28-Jun-20,9.1,48.76
29-Jun-20,10,0.82
30-Jun-20,7.4,26.93
01-Jul-20,11.4,11.51
02-Jul-20,21.6,25.87
03-Jul-20,24.9,13.1
04-Jul-20,14,2.24
05-Jul-20,13.8,0.11
06-Jul-20,17.4,42.34
07-Jul-20,7.7,26.26
08-Jul-20,27.4,2.84
09-Jul-20,14.5,23.8
10-Jul-20,8.3,45.55
11-Jul-20,7.5,30.67
12-Jul-20,8,37.16
13-Jul-20,9,24.89
29-Jul-20,9.9,35.8
30-Jul-20,7.1,19.01
31-Jul-20,8,10.45
01-Aug-20,7.5,2.5
02-Aug-20,4.8,0
03-Aug-20,15.6,0
04-Aug-20,4.2,0
05-Aug-20,4.2,1.69
06-Aug-20,6.5,9.12
07-Aug-20,3.9,0
08-Aug-20,3.4,0
09-Aug-20,6.2,11.96
10-Aug-20,6.4,3.95
11-Aug-20,5.6,1.96
12-Aug-20,6.5,3.57
13-Aug-20,3.4,0.21
14-Aug-20,11.3,12.6
15-Aug-20,10.7,20.72
16-Aug-20,7.8,0.58
17-Aug-20,3.6,5.38
18-Aug-20,5.3,6.5
19-Aug-20,4,39.08
20-Aug-20,5.6,5.96
21-Aug-20,18.3,2.06
22-Aug-20,21.1,0.97
23-Aug-20,12.2,0.77
24-Aug-20,10,0
25-Aug-20,7.7,1.97
26-Aug-20,5.1,0
27-Aug-20,12.5,0.04
28-Aug-20,7.5,2.38
29-Aug-20,1.5,0
30-Aug-20,3.3,10.73
31-Aug-20,3.4,19.03
01-Sep-20,2,11.23
02-Sep-20,2.3,0.08
03-Sep-20,5,6.49
04-Sep-20,9.8,0
05-Sep-20,6,2.78
06-Sep-20,8.8,40.96
07-Sep-20,13,7.59
08-Sep-20,8.9,86.56
09-Sep-20,10.3,1.73
10-Sep-20,14.9,4.45
11-Sep-20,19,1.44
12-Sep-20,15,2.16
13-Sep-20,10.4,1.98
