Dates,NORMAL(mm) ,ACTUAL(mm) 
04-Aug-20,9,6.32
05-Aug-20,11,17.22
06-Aug-20,10,2.09
07-Aug-20,5.4,1.59
08-Aug-20,8.3,3.62
09-Aug-20,8.2,7.08
10-Aug-20,8.5,0.47
11-Aug-20,10.6,0
12-Aug-20,12.6,13.29
13-Aug-20,11,9.44
14-Aug-20,9.1,0.82
15-Aug-20,12.1,3.76
16-Aug-20,7.9,30
17-Aug-20,8.5,0.02
18-Aug-20,11.7,0.01
19-Aug-20,12.2,2
20-Aug-20,6,42.48
21-Aug-20,8.8,0.02
22-Aug-20,9.6,2.56
23-Aug-20,11.5,24.42
24-Aug-20,9.2,21.06
25-Aug-20,7,1.54
26-Aug-20,6.9,0
27-Aug-20,8.8,14.76
28-Aug-20,7,0.09
29-Aug-20,7.6,0.17
30-Aug-20,7.2,0
31-Aug-20,10.6,0
01-Sep-20,13.3,0
02-Sep-20,11,4.64
03-Sep-20,10.7,5.09
04-Sep-20,7,0.1
05-Sep-20,5.8,0
06-Sep-20,14.7,0.08
07-Sep-20,5,7.99
08-Sep-20,4.5,0.04
09-Sep-20,10.5,6.26
10-Sep-20,13.8,1.78
11-Sep-20,8.6,0.52
12-Sep-20,6.1,0
13-Sep-20,10.2,0
14-Sep-20,10.9,0.07
15-Sep-20,13.2,0.84
16-Sep-20,7.4,12.17
17-Sep-20,6.5,21.81
18-Sep-20,3.1,11.89
19-Sep-20,6.3,0.7
20-Sep-20,3.3,0
21-Sep-20,4.3,0
22-Sep-20,4.2,6.62
23-Sep-20,3.8,11.32
24-Sep-20,5.6,82.92
25-Sep-20,5.1,74.2
26-Sep-20,3.7,0.45
27-Sep-20,3.9,0
28-Sep-20,4,0.67
29-Sep-20,4.7,0
30-Sep-20,5.2,0
01-Oct-20,5.6,0
02-Oct-20,2.4,0
03-Oct-20,5.8,0
04-Oct-20,4.4,0
05-Oct-20,4.4,0.29
06-Oct-20,2.6,0
07-Oct-20,0.9,0
08-Oct-20,2.2,0
09-Oct-20,0.3,0
10-Oct-20,8,0
11-Oct-20,1.4,0
12-Oct-20,0.6,0
13-Oct-20,0.9,0
14-Oct-20,1.8,0
15-Oct-20,0.9,0
16-Oct-20,2.3,0
17-Oct-20,0.1,0
18-Oct-20,0.3,0
19-Oct-20,1.2,0
20-Oct-20,0.8,0
21-Oct-20,0.8,0
22-Oct-20,0.6,0.02
23-Oct-20,0.3,0
24-Oct-20,0,1.23
25-Oct-20,0,0
26-Oct-20,0.3,0
27-Oct-20,0.8,0
28-Oct-20,0,0
29-Oct-20,0.1,0
30-Oct-20,1.3,0
31-Oct-20,1.3,0
01-Nov-20,0.3,0
02-Nov-20,0.2,0
03-Nov-20,0,0
04-Nov-20,0.1,0
05-Nov-20,0,0
06-Nov-20,0,0
07-Nov-20,0,0
08-Nov-20,0,0
09-Nov-20,0,0
10-Nov-20,0.5,0
11-Nov-20,0.1,0
12-Nov-20,0,0
13-Nov-20,0,0
14-Nov-20,0,0
15-Nov-20,0.2,0
16-Nov-20,0,3.79
17-Nov-20,0.1,0.41
18-Nov-20,0,0
19-Nov-20,0,0
20-Nov-20,0,0
21-Nov-20,0,0
22-Nov-20,0,0
23-Nov-20,0,0
24-Nov-20,0,0
25-Nov-20,0,0
26-Nov-20,0,0
27-Nov-20,0,0
28-Nov-20,0,0
29-Nov-20,0,0
30-Nov-20,0,0
01-Dec-20,0.1,0
02-Dec-20,0.2,0
03-Dec-20,0.1,0
04-Dec-20,0.1,0
05-Dec-20,0,0
06-Dec-20,0.3,0
07-Dec-20,0,0
08-Dec-20,0,0
09-Dec-20,0,0
10-Dec-20,0.1,0
11-Dec-20,0.2,0
12-Dec-20,0,0
13-Dec-20,0.3,0
14-Dec-20,0.5,0
15-Dec-20,0,0
16-Dec-20,0.1,0
17-Dec-20,0.1,0
18-Dec-20,1.1,0
19-Dec-20,0.3,0
20-Dec-20,0,0
21-Dec-20,0,0
22-Dec-20,0,0
23-Dec-20,0.1,0
24-Dec-20,0.3,0
25-Dec-20,0.7,0
26-Dec-20,0.6,0
27-Dec-20,0.4,0
28-Dec-20,0,0
29-Dec-20,0.8,0
30-Dec-20,0.7,0
31-Dec-20,0.1,0
01-Jan-21,0.3,0
02-Jan-21,0.9,0
03-Jan-21,0.1,0
04-Jan-21,0.6,0
05-Jan-21,0.4,0.06
06-Jan-21,0.9,0
07-Jan-21,0.3,0
08-Jan-21,0.4,0
09-Jan-21,0.3,0
10-Jan-21,0.7,0
11-Jan-21,0.3,0
12-Jan-21,0.1,0
13-Jan-21,0.1,0
14-Jan-21,0.2,0
15-Jan-21,0.4,0
16-Jan-21,0.8,0
17-Jan-21,0.8,0
18-Jan-21,0.8,0
19-Jan-21,0.8,0
20-Jan-21,0.5,0
21-Jan-21,1.3,0
22-Jan-21,0.8,0
23-Jan-21,0.1,0
24-Jan-21,0.1,0
25-Jan-21,0.7,0
26-Jan-21,0.9,0
27-Jan-21,0.9,0
28-Jan-21,0.3,0
29-Jan-21,1.3,0
30-Jan-21,0.2,0
31-Jan-21,0.5,0
01-Feb-21,0.4,0
02-Feb-21,0.3,0
03-Feb-21,0.3,0
04-Feb-21,0.6,0
05-Feb-21,1,0.05
06-Feb-21,1.3,1.25
07-Feb-21,0,0
08-Feb-21,0.3,0
09-Feb-21,0.2,0
10-Feb-21,0.5,0
11-Feb-21,0.2,0
12-Feb-21,0,0
13-Feb-21,0.5,0
14-Feb-21,0.4,0
15-Feb-21,0.4,0
16-Feb-21,0.1,0
17-Feb-21,0.2,0
18-Feb-21,0.6,0.42
19-Feb-21,2.6,0
20-Feb-21,1.2,0
21-Feb-21,0.7,0
22-Feb-21,0.3,0
23-Feb-21,0.1,0
24-Feb-21,0.3,0
25-Feb-21,0.2,0
26-Feb-21,0.1,0
27-Feb-21,0.1,0
28-Feb-21,0.3,0
01-Mar-21,0.1,0
02-Mar-21,0.6,0
03-Mar-21,0.1,0
04-Mar-21,0,0
05-Mar-21,0.5,0
06-Mar-21,0.3,0
07-Mar-21,0.6,0
08-Mar-21,0.1,0
09-Mar-21,0.1,0
10-Mar-21,0.1,0
11-Mar-21,0.6,0
12-Mar-21,1,0
13-Mar-21,0.1,0.26
14-Mar-21,0,0
15-Mar-21,0.1,0
16-Mar-21,0.2,0
17-Mar-21,0,0
18-Mar-21,0.1,0
19-Mar-21,0.1,0
20-Mar-21,0.3,0
21-Mar-21,0,0
22-Mar-21,0.3,0
23-Mar-21,0.4,0
24-Mar-21,1.3,0
25-Mar-21,0.9,0
26-Mar-21,0.4,0
27-Mar-21,0.1,0
28-Mar-21,0,0
29-Mar-21,0.3,0
30-Mar-21,0.8,0
31-Mar-21,1.6,0
01-Apr-21,0.6,0
02-Apr-21,0,0
03-Apr-21,0,0
04-Apr-21,0.3,0
05-Apr-21,0,0
06-Apr-21,0.1,0
07-Apr-21,0,0
08-Apr-21,0,0
09-Apr-21,0,0
10-Apr-21,0.3,0
11-Apr-21,0.7,0
12-Apr-21,0.6,0
13-Apr-21,0.1,0
14-Apr-21,0.1,0
15-Apr-21,0.1,0
